comment_id,category,model_response,prompt_used,model
APHIS-2014-0018-0046,Academic/Industry/Expert (incl. small/local business),metadata,metadata,metadata
BOEM-2014-0077-0026,Academic/Industry/Expert (incl. small/local business),metadata,metadata,metadata
APHIS-2014-0018-0065,Organization/Corporation,org,"Comment to classify:
The Florida Association of Livestock Markets supports the comments made by LMA on this proposed rule. <br/><br/>We appreciate USDA&#39;s engagement of stakeholders in this commenting process and hope that adjustments are made based on the feedback. <br/><br/>We&#39;re particularly interested in seeing changes to the market duties in the approved livestock marketing facility agreement to avoid situations where markets are taking on a policing role or being asked to agree to things they legally cannot do - such as not allowing a livestock owner to ship cattle. <br/><br/>We also hope USDA backs away from the proposed ADT changes relating to Farm of Origin. <br/><br/>Sincerely, <br/>Florida Association of Livestock Markets

Metadata:
- Organization: None
- Submitter Type: None
- Name: FL Association of Livestock Markets

---

Classify the AUTHOR of the above public comment as exactly ONE of these categories:

**org** - Large corporations, industry associations, trade groups, or organizational entities
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners
**undecided** - ONLY if truly anonymous with no identifying info or completely unclear authorship

Decision guidance:
- Use ALL available context clues (tone, language, content, structure, signatures, letterheads)
- Look for: organizational letterhead, academic titles, business names, lobbying language, personal stories, signatures
- Large company or trade association or group → org
- Generic ""concerned citizen"" with personal story/opinion → citizen (NOT undecided)
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- AVOID undecided unless genuinely impossible to determine - make your best inference from the text

Be decisive. Most comments CAN be classified if you look at the language, tone, and context. Only use ""undecided"" as a last resort.

Note: Text may be from inline comment or extracted from PDF attachment (first 2 pages).

Reply with ONLY ONE WORD from: org, citizen, expert, lobbyist, undecided",gpt-4o-mini
APHIS-2014-0018-0066,Organization/Corporation,org,"Comment to classify:
The Virginia Livestock Marketing Association supports the comment of the LMA on this proposed rule. Please see these comments attached as reference. <br/><br/>Thank you. 

Metadata:
- Organization: None
- Submitter Type: None
- Name: John Kissee

---

Classify the AUTHOR of the above public comment as exactly ONE of these categories:

**org** - Large corporations, industry associations, trade groups, or organizational entities
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners
**undecided** - ONLY if truly anonymous with no identifying info or completely unclear authorship

Decision guidance:
- Use ALL available context clues (tone, language, content, structure, signatures, letterheads)
- Look for: organizational letterhead, academic titles, business names, lobbying language, personal stories, signatures
- Large company or trade association or group → org
- Generic ""concerned citizen"" with personal story/opinion → citizen (NOT undecided)
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- AVOID undecided unless genuinely impossible to determine - make your best inference from the text

Be decisive. Most comments CAN be classified if you look at the language, tone, and context. Only use ""undecided"" as a last resort.

Note: Text may be from inline comment or extracted from PDF attachment (first 2 pages).

Reply with ONLY ONE WORD from: org, citizen, expert, lobbyist, undecided",gpt-4o-mini
APHIS-2014-0018-0062,Organization/Corporation,org,"Comment to classify:
April 15, 2015 <br/><br/>To Whom It May Concern:<br/><br/>The following are the comments of the Pennsylvania Livestock Marketing Association on the proposed rule regarding Approved Livestock Marketing Facilities (Docket No. APHIS-2014-0018). <br/><br/>We thank you for the chance to provide feedback on the proposed rule. While we appreciate the time and effort taken to update the regulatory scheme surrounding Approved Livestock Marketing Facilities, we feel that USDA missed the mark in components of this proposed rule that reduces ADT rule flexibilities for cattle moving to an Approved Livestock Marketing Facility. The proposal limits the flexibility to only cattle coming to the facility from a Farm of Origin. Additionally, defining Farm of Origin to the farm where livestock are produced or maintained for at least four months prior to movement is unnecessarily broad  restricting movement even more. <br/><br/>In Pennsylvania, most of our livestock markets do business with out-of-state customers on a regular basis. This is both a function of being a smaller state and of cattle movement patterns. Additionally, many of our customers selling at market are small producers who bring just one or a few head of cattle to market at a time. For these small producers, it would be extremely expensive to have to have a veterinarian visit the farm to write a health certificate, especially when you consider the fact the cost of this health certificate could only be spread out over a few animals at the most. <br/><br/>This added expense could drive producers to sell at a different market just to avoid crossing state lines. They also may consider selling out of the market environment where it is less likely animal health and livestock movement requirements. <br/><br/>This would lead to less traceability rather than more traceability. <br/><br/>Sincerely, <br/><br/>Pennsylvania Livestock Marketing Association <br/>

Metadata:
- Organization: None
- Submitter Type: None
- Name: PA LMA

---

Classify the AUTHOR of the above public comment as exactly ONE of these categories:

**org** - Large corporations, industry associations, trade groups, or organizational entities
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners
**undecided** - ONLY if truly anonymous with no identifying info or completely unclear authorship

Decision guidance:
- Use ALL available context clues (tone, language, content, structure, signatures, letterheads)
- Look for: organizational letterhead, academic titles, business names, lobbying language, personal stories, signatures
- Large company or trade association or group → org
- Generic ""concerned citizen"" with personal story/opinion → citizen (NOT undecided)
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- AVOID undecided unless genuinely impossible to determine - make your best inference from the text

Be decisive. Most comments CAN be classified if you look at the language, tone, and context. Only use ""undecided"" as a last resort.

Note: Text may be from inline comment or extracted from PDF attachment (first 2 pages).

Reply with ONLY ONE WORD from: org, citizen, expert, lobbyist, undecided",gpt-4o-mini
APHIS-2014-0018-0007,Academic/Industry/Expert (incl. small/local business),expert,"Comment to classify:
The industry desperately needs these changes! As a Livestock Market operator in southern Michigan since 1956, we have seen many changes over the years, notably a decrease of Livestock Marketing options. We have several customers from northern Ohio that choose us to market their slaughter cattle. Requiring to have an IVCI issued by a vet for each consignment of slaughter cattle would not only be costly, but not necessary. These cattle go to slaughter and are inspected by USDA at their destination for harvest. To be an &quot;Approved USDA Livestock Facility&quot; to accept out of state slaughter cattle and be required to have a Vet at the site on sale days would serve no purpose. Our local vet on call would allow his/her services on the farms and not pin him/her down at our premise for 6 hours each sale day. These out of state consignments are currently and would be continued to be USDA back tagged, penned separate, not co mingled, and sent from our facilities to slaughter. In addition, they are individually identified with RFID or USDA approved metal ear tags. An &quot;Owner-Shipper&quot; statement to accompany the cattle is no problem for the farmers or truckers. These changes are a step forward to allow livestock marketing across state lines, and will enhance disease traceability.<br/><br/>Randy Heselschwerdt, Napoleon Livestock Commission Co.  Napoleon, Michigan   

Metadata:
- Organization: None
- Submitter Type: None
- Name: Randy Heselschwerdt

---

Classify the AUTHOR of the above public comment as exactly ONE of these categories:

**org** - Large corporations, industry associations, trade groups, or organizational entities
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners
**undecided** - ONLY if truly anonymous with no identifying info or completely unclear authorship

Decision guidance:
- Use ALL available context clues (tone, language, content, structure, signatures, letterheads)
- Look for: organizational letterhead, academic titles, business names, lobbying language, personal stories, signatures
- Large company or trade association or group → org
- Generic ""concerned citizen"" with personal story/opinion → citizen (NOT undecided)
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- AVOID undecided unless genuinely impossible to determine - make your best inference from the text

Be decisive. Most comments CAN be classified if you look at the language, tone, and context. Only use ""undecided"" as a last resort.

Note: Text may be from inline comment or extracted from PDF attachment (first 2 pages).

Reply with ONLY ONE WORD from: org, citizen, expert, lobbyist, undecided",gpt-4o-mini
APHIS-2014-0018-0002,Ordinary Citizen,citizen,"Comment to classify:
all exemptions should be taken away. if livestock ove from state to state, before they leave the original state they should be certified as healthful. I do not believe sick livestock should be moved from the original site. it dos not matter whether they move to a livestock facility. I do not believe unhealthy livestock should be moved to any new site. I do not believe that regulations that protect America should be done away with. 

Metadata:
- Organization: None
- Submitter Type: None
- Name: jean public

---

Classify the AUTHOR of the above public comment as exactly ONE of these categories:

**org** - Large corporations, industry associations, trade groups, or organizational entities
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners
**undecided** - ONLY if truly anonymous with no identifying info or completely unclear authorship

Decision guidance:
- Use ALL available context clues (tone, language, content, structure, signatures, letterheads)
- Look for: organizational letterhead, academic titles, business names, lobbying language, personal stories, signatures
- Large company or trade association or group → org
- Generic ""concerned citizen"" with personal story/opinion → citizen (NOT undecided)
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- AVOID undecided unless genuinely impossible to determine - make your best inference from the text

Be decisive. Most comments CAN be classified if you look at the language, tone, and context. Only use ""undecided"" as a last resort.

Note: Text may be from inline comment or extracted from PDF attachment (first 2 pages).

Reply with ONLY ONE WORD from: org, citizen, expert, lobbyist, undecided",gpt-4o-mini
APHIS-2014-0018-0010,Ordinary Citizen,citizen,"Comment to classify:
See attached file(s)

Metadata:
- Organization: None
- Submitter Type: None
- Name: Sheila Foster

---

Classify the AUTHOR of the above public comment as exactly ONE of these categories:

**org** - Large corporations, industry associations, trade groups, or organizational entities
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners
**undecided** - ONLY if truly anonymous with no identifying info or completely unclear authorship

Decision guidance:
- Use ALL available context clues (tone, language, content, structure, signatures, letterheads)
- Look for: organizational letterhead, academic titles, business names, lobbying language, personal stories, signatures
- Large company or trade association or group → org
- Generic ""concerned citizen"" with personal story/opinion → citizen (NOT undecided)
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- AVOID undecided unless genuinely impossible to determine - make your best inference from the text

Be decisive. Most comments CAN be classified if you look at the language, tone, and context. Only use ""undecided"" as a last resort.

Note: Text may be from inline comment or extracted from PDF attachment (first 2 pages).

Reply with ONLY ONE WORD from: org, citizen, expert, lobbyist, undecided",gpt-4o-mini
APHIS-2014-0018-0050,Ordinary Citizen,citizen,"Comment to classify:
See attached

Metadata:
- Organization: None
- Submitter Type: None
- Name: Linda Hickam

---

Classify the AUTHOR of the above public comment as exactly ONE of these categories:

**org** - Large corporations, industry associations, trade groups, or organizational entities
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners
**undecided** - ONLY if truly anonymous with no identifying info or completely unclear authorship

Decision guidance:
- Use ALL available context clues (tone, language, content, structure, signatures, letterheads)
- Look for: organizational letterhead, academic titles, business names, lobbying language, personal stories, signatures
- Large company or trade association or group → org
- Generic ""concerned citizen"" with personal story/opinion → citizen (NOT undecided)
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- AVOID undecided unless genuinely impossible to determine - make your best inference from the text

Be decisive. Most comments CAN be classified if you look at the language, tone, and context. Only use ""undecided"" as a last resort.

Note: Text may be from inline comment or extracted from PDF attachment (first 2 pages).

Reply with ONLY ONE WORD from: org, citizen, expert, lobbyist, undecided",gpt-4o-mini
APHIS-2014-0018-0059,Organization/Corporation,org,"Comment to classify:
Dear Mr. Shea, <br/><br/>As the association representing local livestock auction markets in the state of South Carolina, we are writing to provide comments on the proposed rule regarding Approved Livestock Marketing Facilities (Docket No. APHIS-2014-0018). <br/><br/>Generally, we support the comments submitted by Dan Harris, president of the national Livestock Marketing Association. In particular, we share his concerns with the Farm of Origin changes to the ADT rule limiting the feasibility of us continue to do business with our out-of-state customers. Adult cattle coming into our markets are documented and inspected upon arrival, so this adjustment is unnecessary. <br/><br/>We also feel strongly that the agreement should remain in the regulation so markets have the ability to formally comment on any changes just as we are doing now. <br/><br/>In addition, we agree that the language in the proposed agreement should be adjusted so it is clear livestock markets are not solely responsible for all livestock movement and animal health requirements. Our producers, veterinarians, and animal health officials also play an important role. <br/><br/>Our final comment is unique to South Carolina. We have state inspectors that attend each of our livestock auctions. We feel this resource market owners should be able to be utilize, if they chose to do so, to help address the shortage of private veterinarians and increase traceability. This could be accomplished by allowing these state inspectors the ability to write health papers or alternative movement documents to keep livestock moving. <br/><br/>If you have any questions about these comments, please contact John Kissee at 770-596-0128. <br/><br/>South Carolina Livestock Marketing Association <br/>

Metadata:
- Organization: None
- Submitter Type: None
- Name: South Carolina LMA

---

Classify the AUTHOR of the above public comment as exactly ONE of these categories:

**org** - Large corporations, industry associations, trade groups, or organizational entities
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners
**undecided** - ONLY if truly anonymous with no identifying info or completely unclear authorship

Decision guidance:
- Use ALL available context clues (tone, language, content, structure, signatures, letterheads)
- Look for: organizational letterhead, academic titles, business names, lobbying language, personal stories, signatures
- Large company or trade association or group → org
- Generic ""concerned citizen"" with personal story/opinion → citizen (NOT undecided)
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- AVOID undecided unless genuinely impossible to determine - make your best inference from the text

Be decisive. Most comments CAN be classified if you look at the language, tone, and context. Only use ""undecided"" as a last resort.

Note: Text may be from inline comment or extracted from PDF attachment (first 2 pages).

Reply with ONLY ONE WORD from: org, citizen, expert, lobbyist, undecided",gpt-4o-mini
