comment_id,category,prompt_used,model
DOT-OST-2019-0180-1001,Ordinary Citizen,"Classify the author of this public comment as exactly one of these categories:

**undecided** - Anonymous submissions, form letters with no identifying info, or unclear authorship
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**org** - Large corporations, industry associations, trade groups, or organizational entities
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners

Decision guidance:
- Use context clues (tone, language, content) - explicit identification isn't required
- Check for: organizational letterhead, academic titles, business names, lobbying language
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- Generic ""concerned citizen"" with no other signals → citizen
- Mass-submission campaigns without personal details → undecided

Reply with ONLY ONE WORD from: undecided, citizen, org, expert, lobbyist

Comment:
I flew last week and the airplane bathroom was too small for my wheelchair. Please require larger bathrooms on all planes.",gpt-4o-mini
DOT-OST-2019-0180-1002,Organization/Corporation,"Classify the author of this public comment as exactly one of these categories:

**undecided** - Anonymous submissions, form letters with no identifying info, or unclear authorship
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**org** - Large corporations, industry associations, trade groups, or organizational entities
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners

Decision guidance:
- Use context clues (tone, language, content) - explicit identification isn't required
- Check for: organizational letterhead, academic titles, business names, lobbying language
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- Generic ""concerned citizen"" with no other signals → citizen
- Mass-submission campaigns without personal details → undecided

Reply with ONLY ONE WORD from: undecided, citizen, org, expert, lobbyist

Comment:
Boeing Company submits these comments in response to the proposed accessible lavatory requirements. We have analyzed the engineering and cost implications for single-aisle aircraft modifications.",gpt-4o-mini
DOT-OST-2019-0180-1003,Academic/Industry/Expert (incl. small/local business),"Classify the author of this public comment as exactly one of these categories:

**undecided** - Anonymous submissions, form letters with no identifying info, or unclear authorship
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**org** - Large corporations, industry associations, trade groups, or organizational entities
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners

Decision guidance:
- Use context clues (tone, language, content) - explicit identification isn't required
- Check for: organizational letterhead, academic titles, business names, lobbying language
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- Generic ""concerned citizen"" with no other signals → citizen
- Mass-submission campaigns without personal details → undecided

Reply with ONLY ONE WORD from: undecided, citizen, org, expert, lobbyist

Comment:
I run a small regional airline and I'm worried about the costs of retrofitting our fleet, but I understand the importance of accessibility for all passengers.",gpt-4o-mini
EPA-HQ-OPP-2013-0251-9999,Ordinary Citizen,"Classify the author of this public comment as exactly one of these categories:

**undecided** - Anonymous submissions, form letters with no identifying info, or unclear authorship
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**org** - Large corporations, industry associations, trade groups, or organizational entities
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners

Decision guidance:
- Use context clues (tone, language, content) - explicit identification isn't required
- Check for: organizational letterhead, academic titles, business names, lobbying language
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- Generic ""concerned citizen"" with no other signals → citizen
- Mass-submission campaigns without personal details → undecided

Reply with ONLY ONE WORD from: undecided, citizen, org, expert, lobbyist

Comment:
I am writing as a concerned citizen to oppose the use of harmful pesticides that could damage our local water supply and harm wildlife in our community.",gpt-4o-mini
EPA-HQ-OPP-2013-0251-9998,Organization/Corporation,"Classify the author of this public comment as exactly one of these categories:

**undecided** - Anonymous submissions, form letters with no identifying info, or unclear authorship
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**org** - Large corporations, industry associations, trade groups, or organizational entities
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners

Decision guidance:
- Use context clues (tone, language, content) - explicit identification isn't required
- Check for: organizational letterhead, academic titles, business names, lobbying language
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- Generic ""concerned citizen"" with no other signals → citizen
- Mass-submission campaigns without personal details → undecided

Reply with ONLY ONE WORD from: undecided, citizen, org, expert, lobbyist

Comment:
On behalf of the American Chemical Industry Association, we submit these technical comments regarding the proposed triazine regulations. Our members have conducted extensive research showing these compounds are safe when used according to label instructions.",gpt-4o-mini
EPA-HQ-OPP-2013-0251-9997,Academic/Industry/Expert (incl. small/local business),"Classify the author of this public comment as exactly one of these categories:

**undecided** - Anonymous submissions, form letters with no identifying info, or unclear authorship
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**org** - Large corporations, industry associations, trade groups, or organizational entities
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners

Decision guidance:
- Use context clues (tone, language, content) - explicit identification isn't required
- Check for: organizational letterhead, academic titles, business names, lobbying language
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- Generic ""concerned citizen"" with no other signals → citizen
- Mass-submission campaigns without personal details → undecided

Reply with ONLY ONE WORD from: undecided, citizen, org, expert, lobbyist

Comment:
As a professor of environmental toxicology at State University, I have studied triazine compounds for over 20 years. The proposed regulations align with current scientific understanding of these pesticides' environmental impact.",gpt-4o-mini
EPA-HQ-OPP-2013-0251-9996,Political Consultant/Lobbyist,"Classify the author of this public comment as exactly one of these categories:

**undecided** - Anonymous submissions, form letters with no identifying info, or unclear authorship
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**org** - Large corporations, industry associations, trade groups, or organizational entities
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners

Decision guidance:
- Use context clues (tone, language, content) - explicit identification isn't required
- Check for: organizational letterhead, academic titles, business names, lobbying language
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- Generic ""concerned citizen"" with no other signals → citizen
- Mass-submission campaigns without personal details → undecided

Reply with ONLY ONE WORD from: undecided, citizen, org, expert, lobbyist

Comment:
This comment is submitted by Political Solutions LLC on behalf of our client. We strongly support maintaining current pesticide regulations to protect American agricultural competitiveness.",gpt-4o-mini
EPA-HQ-OPP-2013-0251-9995,Undecided/Anonymous,"Classify the author of this public comment as exactly one of these categories:

**undecided** - Anonymous submissions, form letters with no identifying info, or unclear authorship
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**org** - Large corporations, industry associations, trade groups, or organizational entities
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners

Decision guidance:
- Use context clues (tone, language, content) - explicit identification isn't required
- Check for: organizational letterhead, academic titles, business names, lobbying language
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- Generic ""concerned citizen"" with no other signals → citizen
- Mass-submission campaigns without personal details → undecided

Reply with ONLY ONE WORD from: undecided, citizen, org, expert, lobbyist

Comment:
",gpt-4o-mini
DOT-OST-2019-0180-0019,Undecided/Anonymous,"Classify the author of this public comment as exactly one of these categories:

**undecided** - Anonymous submissions, form letters with no identifying info, or unclear authorship
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**org** - Large corporations, industry associations, trade groups, or organizational entities
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners

Decision guidance:
- Use context clues (tone, language, content) - explicit identification isn't required
- Check for: organizational letterhead, academic titles, business names, lobbying language
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- Generic ""concerned citizen"" with no other signals → citizen
- Mass-submission campaigns without personal details → undecided

Reply with ONLY ONE WORD from: undecided, citizen, org, expert, lobbyist

Comment:
",gpt-4o-mini
DOT-OST-2019-0180-0021,Undecided/Anonymous,"Classify the author of this public comment as exactly one of these categories:

**undecided** - Anonymous submissions, form letters with no identifying info, or unclear authorship
**citizen** - Individual ordinary citizens, residents, or community members without professional affiliation
**org** - Large corporations, industry associations, trade groups, or organizational entities
**expert** - Academics, researchers, small/local businesses, industry experts, technical specialists
**lobbyist** - Political consultants, registered lobbyists, advocacy groups, or professional campaigners

Decision guidance:
- Use context clues (tone, language, content) - explicit identification isn't required
- Check for: organizational letterhead, academic titles, business names, lobbying language
- Individual small business owners → expert (not org)
- Professional advocates or political operatives → lobbyist
- Generic ""concerned citizen"" with no other signals → citizen
- Mass-submission campaigns without personal details → undecided

Reply with ONLY ONE WORD from: undecided, citizen, org, expert, lobbyist

Comment:
",gpt-4o-mini
