document_number,comment_id,category,agency
2019-28339,EPA-HQ-OPP-2013-0251-9999,Ordinary Citizen,Environmental Protection Agency
2019-28339,EPA-HQ-OPP-2013-0251-9998,Organization/Corporation,Environmental Protection Agency
2019-28339,EPA-HQ-OPP-2013-0251-9997,Academic/Industry/Expert (incl. small/local business),Environmental Protection Agency
2019-28339,EPA-HQ-OPP-2013-0251-9996,Political Consultant/Lobbyist,Environmental Protection Agency
2019-28339,EPA-HQ-OPP-2013-0251-9995,Undecided/Anonymous,Environmental Protection Agency
2019-27631,DOT-OST-2019-0180-1001,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-1002,Organization/Corporation,Transportation Department
2019-27631,DOT-OST-2019-0180-1003,Academic/Industry/Expert (incl. small/local business),Transportation Department
2019-27631,DOT-OST-2019-0180-0019,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0021,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0022,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0018,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0027,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0028,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0029,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0030,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0031,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0003,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0004,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0005,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0006,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0007,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0008,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0009,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0010,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0011,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0012,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0013,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0014,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0015,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0016,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0020,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0023,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0024,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0025,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0026,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0032,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0033,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0034,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0035,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0036,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0037,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0038,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0039,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0040,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0041,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0042,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0043,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0046,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0047,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0044,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0045,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0048,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0049,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0050,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0051,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0053,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0054,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0055,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0056,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0057,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0058,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0059,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0060,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0061,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0062,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0063,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0064,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0065,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0066,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0067,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0068,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0069,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0070,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0071,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0072,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0073,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0074,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0075,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0076,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0077,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0078,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0079,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0080,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0081,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0082,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0083,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0084,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0085,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0086,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0087,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0088,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0089,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0090,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0091,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0092,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0093,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0094,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0095,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0096,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0097,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0098,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0099,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0100,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0101,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0102,Ordinary Citizen,Transportation Department
2019-27631,DOT-OST-2019-0180-0103,Undecided/Anonymous,Transportation Department
2019-27631,DOT-OST-2019-0180-0104,Ordinary Citizen,Transportation Department
